id,name,type,state,district,sub_district,pincode,latitude,longitude,population,is_serviceable,priority
1,Balaghat,city,Madhya Pradesh,Balaghat,Balaghat,481001,21.8129,80.1838,,True,100
2,Waraseoni,town,Madhya Pradesh,Balaghat,Waraseoni,481331,21.7605,80.0432,,True,90
3,Katangi,town,Madhya Pradesh,Balaghat,Katangi,481445,21.773,79.805,,True,80
4,Lanji,town,Madhya Pradesh,Balaghat,Lanji,481222,21.505,80.545,,True,80
5,Baihar,town,Madhya Pradesh,Balaghat,Baihar,481111,22.101,80.548,,True,80
6,Paraswada,town,Madhya Pradesh,Balaghat,Paraswada,481556,22.03,80.366,,False,0
7,Pandharwani,village,Madhya Pradesh,Balaghat,Waraseoni,481331,21.7615,80.1548,,False,0
8,Khairlanji,town,Madhya Pradesh,Balaghat,Khairlanji,481337,21.642,80.129,,True,70
9,Kirnapur,town,Madhya Pradesh,Balaghat,Kirnapur,481115,21.604,80.001,,False,0
10,Tirodi,town,Madhya Pradesh,Balaghat,Katangi,481449,21.685,79.719,,False,0
